user,tweet,hashtag,location
Maltonato,@grumpysplodge runde 3 wird richtig juicy,,"Hannover, Deutschland"
ByRaudy,@DeveloperTobi Awesome!,,"Hanover, Lower Saxony"
GIIDE0N,@finnley1899 turbostark,,Hannover
huntverhalten,@ichliebebrot Eaaaaaaaasy https://t.co/GN4lf3Yund,,Hannover
AdrianvaldezL,"My heart's an open door, who can ask for more?
Come on in for a ride.",,"Hanover, Lower Saxony"
ToreAndreFlo07,"Was ein Return 😍😍

#GoPackGo",['GoPackGo'],"Hannover, Deutschland"
mb_eSKaeS,"@DuhrkopFlorian @uol_simracing @Sim_Popometer Me and the boys watching as Flo gets the record

GJ 💪 https://t.co/mincttz6JU",,Hannover
kendriinchen,"No 10

(It will be very hard to finish my reading goal in the next 6 days 😅) https://t.co/Z078h42hS7",,"Hannover, Deutschland"
MechDawn,"@manideepkarne But hey, I had a very nice conservation with you here 😁 We can add in the game - once it works and I know how to.",,"Hannover, Deutschland"
Spuernaeschen,@cmqtwzrdm Happy Birthday 🎉🎁🥂🥳,,Hannover
MechDawn,"@manideepkarne That's what i mean, how can they disappoint us two now just easy like that as they want to make us happy with a simple free game as gift. https://t.co/cJwQv4WvVu",,"Hannover, Deutschland"
ueberschaubar,"@zuza_real Because you added no image description, making it not accessible to everyone who needs them, you mean?",,Hannover
MechDawn,@manideepkarne I cannot see any free game now. They have to bring up the DC version. I'm pissed right now about getting such a great game for free. How can they f*** up that so hard? 🤣,,"Hannover, Deutschland"
MRTNmusic_,"@romanminajNM5 @beyisover Honestly, I couldn't care less. All of them are minding their own business, besides you.",,"Hannover, Deutschland"
Schokomilch92,"@Ojo_Rojo99 @Keinlieb @MrAndyNgo this tweet is extremely disgusting. So you are of the oppinion that you should be allowed to murder foreigners in your country?
Check your world view mate",,"Hannover, Deutschland"
MRTNmusic_,"Applause (CD Single) [EU, 2013] https://t.co/oZdCmyzrWh",,"Hannover, Deutschland"
MRTNmusic_,"ARTPOP (Standard Edition) [EU, 2019]

*2019 re-release excluding ""Do What U Want"" Feat. R. Kelly
**Non-Foil Version of the album.
***Different (ugly) font for the Tracklist on the Booklet https://t.co/VKuNCNQmf6",,"Hannover, Deutschland"
MRTNmusic_,"ARTPOP (Deluxe Edition) [EU, 2013]

*Foiled Font Version
**Includes iTunes Festival 2013 Performance DVD
***Includes ""Do What U Want"" Feat. R. Kelly https://t.co/p1TSpLMlFD",,"Hannover, Deutschland"
MRTNmusic_,"ARTPOP (Standard Version) [Australia, 2013]

*Foiled Font Version
**Includes ""Do What U Want"" Feat. R. Kelly https://t.co/jzJsMkxQxW",,"Hannover, Deutschland"
Werner85214901,@nougatbitpfeffi no joke dieses view ding fuckt mich anders ab,,"Hanover, Germany"
Unfocused_Times,"Christmas cat.
#CatsofTwittter #Caturday #cat #CatsOnTwitter #photooftheday https://t.co/1Um0GJ2tVz","['CatsofTwittter', 'Caturday', 'cat', 'CatsOnTwitter', 'photooftheday']","Hannover, Deutschland"
timberwulff,@FrankMikeDavis1 The bottom of the Mariana Trench,,Hanover
Robert_Ziehm,"@mattyglesias Austrian anti-Protestant propaganda, but admittedly very good.",,"Hanover, Lower Saxony"
MechDawn,@kylenabecker Everything.,,"Hannover, Deutschland"
Schokomilch92,"@Ojo_Rojo99 @Keinlieb @MrAndyNgo are you native american? No?
What are you doing in Canada then! Go back to Europe!",,"Hannover, Deutschland"
DasZuchthaus_,@Guantanamo___ Unfortunately we cant cast Officer Schmidt back to Brutal Bunker.but he is supervisor for our Zuchthaus work from time to time.,,Saxony
Schokomilch92,@Ojo_Rojo99 @Keinlieb @MrAndyNgo they are french citizen with kurdish heritage…,,"Hannover, Deutschland"
Schokomilch92,"@12ThManOffGrid @MrAndyNgo well, a racist prick who until recently was imprisoned for racist hatecrimes also isn‘t supposed to walk into the center of paris and shoot 3 people…
No reason to riot, but these types of tweets are disgusting",,"Hannover, Deutschland"
MRTNmusic_,ARTPOP:,,"Hannover, Deutschland"
robbysherwood,@17Schlobohm @MelnykAndrij And how is that related?,,"Lehrte, Deutschland"
JawadMonghol,"The man, who were involved in lobbying, propagandas, and dishonesty, is claiming that he will help Babar Azam to understand Captaincy. Babar azam, the one who has take his team in semies 2021 T20, Final of Aisa cup 2022 and final of 2022 t20 WC. https://t.co/EDyb0i24YL",,"Hanover, Germany"
Schokomilch92,"@DonMegaClassic @MrAndyNgo 🤦‍♂️
People with a different skin tone exist = racists are justified",,"Hannover, Deutschland"
janniswiese,@rom_over It’s delicious! 🇫🇮,,"Hanover, Lower Saxony"
Schokomilch92,@MrAndyNgo dude already stated that he acted out of his racist ideology. My man had also been in prison for racist hatecrimes before and shouldn‘t have been free in the first place. Would love to see a less biased correction of this tweet,,"Hannover, Deutschland"
MRTNmusic_,"The Edge Of Glory (CD Single) [EU, 2011] https://t.co/N8mlUg26Wc",,"Hannover, Deutschland"
MRTNmusic_,"Born This Way (CD Single) [EU, 2011] https://t.co/WS7kM80nbN",,"Hannover, Deutschland"
MRTNmusic_,"Born This Way (Vinyl) [EU, 2011]

*2011 first pressing https://t.co/xCax6aO4TK",,"Hannover, Deutschland"
MRTNmusic_,"Born This Way (10th Anniversary) [EU, 2021]

*Standard Born This Way Album + ""Reimagined"" Disc including reimagined songs of existing Born This Way songs by Kylie Minogue, Years &amp; Years, Big Freedia &amp; More. https://t.co/uWJuWv7RlB",,"Hannover, Deutschland"
MRTNmusic_,"Born This Way (Special Edition) [Australia, 2011] https://t.co/qgyItTQ9j5",,"Hannover, Deutschland"
MRTNmusic_,"Born This Way (International Standard Edition) [EU, 2011] https://t.co/LSWWbkG9gF",,"Hannover, Deutschland"
Schokomilch92,"@andypeps1 @frank_stagg @MrAndyNgo he is a hatefillee racist criminal. Why can‘t people in the US condemn crimes like these?
Is it because the vitims are of the „wrong race“?",,"Hannover, Deutschland"
Schokomilch92,"@Keinlieb @Ojo_Rojo99 @MrAndyNgo the dude who murdered 3 people in paris was a convicted racist… he shouldn‘t have been free in the first place. I do not condone these riots, but the anger is kinda justified, since the police knew this dude was a violent racist, yet no one did anything to stop him",,"Hannover, Deutschland"
Schokomilch92,"@Ojo_Rojo99 @MrAndyNgo i do note condone these actions, but these types of commentars are not fitting this case. The dude has already stated that he specifically targeted kurdish people because he is a racist. He has been locked up for racist hate crimes before and shouldn‘t have been free",,"Hannover, Deutschland"
MechDawn,"@manideepkarne Yeah i'm chilled with that, free game, cool game, service overload. Okay, fine. But downgrade it while they crashed? Can you imagine a person seeing the crash and the next thing is to downgrade it? So it's clearly not about good experience and fun which drives me mad now.",,"Hannover, Deutschland"
Schokomilch92,@sphinxgsx @MrAndyNgo that‘s just the french way 🤷‍♂️,,"Hannover, Deutschland"
socialclueless,@ichbinsotraurig Deal,,Hannover
MechDawn,@manideepkarne Wow I was never that mad about a free game. Real bummer and such stupid move to even downgrade it while they fail to keep their services up. 🤨,,"Hannover, Deutschland"
MechDawn,@EpicGames You downgraded the version now? Come up with a message that this is just an misstake and get your service running! I was hyped to play it but now you are making me even MAD with a free gift! Worse case. https://t.co/bDflHFQkoa,,"Hannover, Deutschland"
MechDawn,@1colonelsanders @EpicGames Such a crappy move. Shame on Epic for that fail to login and now downgrading the version? Holy!,,"Hannover, Deutschland"
MechDawn,@EpicGames Can you check your library? Only very few games are showing up.,,"Hannover, Deutschland"
EugestShirley,@p3_Politics Probably a shelter.,,Hanover
MechDawn,@EpicGames Can you check your library? I think mine is kinda gone right now. Only very few are showing up.,,"Hannover, Deutschland"
MechDawn,@manideepkarne Can you check your library? I think mine is kinda gone right now. Only very few are showing up.,,"Hannover, Deutschland"
philisco,… some sparkling beer … - Drinking a Bucks Fizz Pale by @vocationbrewery @ Brelingen  — https://t.co/RuRWtprJ84,,"Wedemark, Deutschland"
MRTNmusic_,Born This Way:,,"Hannover, Deutschland"
comasoccer_xi,New Upload - Fifa 23 Gameplay - Arsenal Lonadon vs. West Ham United - Premier League 17. Spieltag 2022/23 Prognose [PS4 Pro HD] - https://t.co/n9bGWz31Jp #FIFA23 #EA #LetsPlay https://t.co/FCqoqr6AdX,"['FIFA23', 'EA', 'LetsPlay']",Hannover
PugilistProdigy,@Maks_NAFO_FELLA I don't know man. North Korea did it better.,,"Hannover, Germany"
EugestShirley,"@Despoinou It's not the toy it's the game.
Merry Christmas",,Hanover
